#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
5533#12674#54,0#technician#married#secondary#no#187,0#no#yes#cellular#4#jul#3.0#-1,0#0#unknown#no
5534#45101#34,0#blue-collar#married#secondary#no#152,0#no#no#cellular#25#oct#1.0#-1,0#0#unknown#no
5535#42622#47,0#services#divorced#tertiary#no#1639,0#no#no#cellular#12#jan#1.0#-1,0#0#unknown#yes
5536#30287#55,0#retired#married#secondary#no#529,0#yes#no#cellular#5#feb#4.0#8,0#3#other#no
5537#14753#36,0#services#married#secondary#no#321,0#yes#no#cellular#15#jul#2.0#-1,0#0#unknown#no
5538#20523#33,0#technician#single#tertiary#no#2024,0#no#no#cellular#12#aug#2.0#-1,0#0#unknown#no
5539#4216#41,0#management#married#tertiary#no#4357,0#yes#no#unknown#19#may#1.0#-1,0#0#unknown#no
5540#13756#47,0#management#married#secondary#no#894,0#yes#no#cellular#10#jul#1.0#-1,0#0#unknown#no
5541#472#39,0#housemaid#single#primary#no#109,0#yes#no#unknown#6#may#3.0#-1,0#0#unknown#no
5542#25707#44,0#services#married#primary#no#1161,0#yes#no#cellular#19#nov#1.0#184,0#5#failure#no
5543#9946#48,0#technician#married#secondary#no#5,0#no#no#unknown#9#jun#6.0#-1,0#0#unknown#no
5544#10585#48,0#blue-collar#married#primary#no#554,0#no#no#unknown#16#jun#8.0#-1,0#0#unknown#no
5545#9845#55,0#technician#single#unknown#no#776,0#no#no#unknown#9#jun#1.0#-1,0#0#unknown#no
5546#27586#34,0#management#married#tertiary#no#731,0#yes#no#cellular#21#nov#4.0#-1,0#0#unknown#no
5547#13837#32,0#blue-collar#divorced#secondary#no#107,0#yes#yes#cellular#10#jul#1.0#-1,0#0#unknown#no
5548#5370#36,0#blue-collar#married#primary#no#-327,0#yes#yes#unknown#23#may#1.0#-1,0#0#unknown#no
5549#4881#51,0#blue-collar#divorced#secondary#no#44,0#no#no#unknown#21#may#2.0#-1,0#0#unknown#no
5550#38418#34,0#technician#single#secondary#no#194,0#yes#yes#cellular#15#may#1.0#-1,0#0#unknown#yes
5551#26963#39,0#admin.#single#secondary#no#2263,0#yes#yes#telephone#21#nov#9.0#-1,0#0#unknown#yes
5552#136#23,0#blue-collar#married#secondary#no#94,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
5553#340#32,0#services#single#secondary#no#121,0#yes#no#unknown#5#may#2.0#-1,0#0#unknown#no
5554#36560#38,0#housemaid#single#primary#no#199,0#yes#no#cellular#12#may#1.0#306,0#1#failure#yes
5555#31841#36,0#blue-collar#married#secondary#no#536,0#yes#no#cellular#8#apr#3.0#-1,0#0#unknown#yes
5556#10158##management#married#tertiary#no#64,0#no#no#unknown#11#jun#1.0#-1,0#0#unknown#yes
5557#21868#37,0#technician#divorced#secondary#no#23,0#no#no#cellular#20#aug#2.0#-1,0#0#unknown#no
5558#35481#36,0#admin.#divorced#secondary#no#181,0#yes#no#cellular#7#may#2.0#-1,0#0#unknown#no
5559#35950#41,0#technician#married#secondary#no#2576,0#yes#yes#cellular#8#may#5.0#361,0#11#failure#no
5560#2860#43,0#blue-collar#married#secondary#no#2706,0#yes#yes#unknown#14#may#1.0#-1,0#0#unknown#no
5561#29233#58,0#retired#married#secondary#no#1227,0#no#no#cellular#2#feb#1.0#-1,0#0#unknown#no
5562#14687#44,0#blue-collar#divorced#secondary#no#-1,0#no#yes#cellular#15#jul#5.0#-1,0#0#unknown#no
5563#37596#44,0#blue-collar#married#secondary#no#-182,0#yes#yes#cellular#14#may#10.0#-1,0#0#unknown#no
5564#23134##technician#married#secondary#no#1005,0#no#no#cellular#26#aug#7.0#-1,0#0#unknown#no
5565#21813#47,0#technician#married#secondary#no#11,0#no#no#cellular#20#aug#2.0#-1,0#0#unknown#no
5566#6200#48,0#blue-collar#married#secondary#no#154,0#yes#no#unknown#27#may#3.0#-1,0#0#unknown#no
5567#25770#47,0#admin.#married#secondary#no#4480,0#no#no#telephone#19#nov#2.0#-1,0#0#unknown#no
5568#43870#39,0#housemaid#divorced#secondary#no#70,0#no#no#cellular#4#jun#2.0#128,0#8#success#no
5569#3106#40,0#technician#single#secondary#no#277,0#yes#no#unknown#14#may#2.0#-1,0#0#unknown#no
5570#27342#57,0#technician#married#secondary#no#7766,0#yes#no#cellular#21#nov#1.0#-1,0#0#unknown#no
5571#16644#51,0#services#married#primary#no#56,0#no#yes#cellular#24#jul#2.0#-1,0#0#unknown#no
5572#28078#53,0#housemaid#married#secondary#no#637,0#no#no#cellular#28#jan#2.0#-1,0#0#unknown#no
5573#2554#35,0#admin.#married#secondary#no#56,0#yes#no#unknown#13#may#6.0#-1,0#0#unknown#no
5574#4352#27,0#blue-collar#single#secondary#yes#-3,0#yes#no#unknown#19#may#5.0#-1,0#0#unknown#no
5575#33986#35,0#admin.#single#tertiary#no#994,0#no#no#cellular#30#apr#1.0#87,0#2#failure#yes
5576#6226#23,0#blue-collar#single#primary#yes#-627,0#yes#yes#unknown#27#may#1.0#-1,0#0#unknown#no
5577#19808#33,0#technician#single#secondary#no#5833,0#yes#no#cellular#8#aug#2.0#-1,0#0#unknown#no
5578#23069#35,0#management#married#tertiary#no#841,0#no#no#cellular#26#aug#6.0#-1,0#0#unknown#no
5579#523#52,0#admin.#married#secondary#no#484,0#yes#no#unknown#6#may#1.0#-1,0#0#unknown#no
5580#36533#50,0#blue-collar#married#primary#no#65,0#yes#no#telephone#12#may#1.0#-1,0#0#unknown#no
5581#26382#54,0#management#married#primary#no#1691,0#yes#no#cellular#20#nov#1.0#-1,0#0#unknown#no
5582#30614#46,0#management#married#tertiary#no#1698,0#yes#no#cellular#6#feb#1.0#-1,0#0#unknown#no
5583#24357#54,0#management#married#tertiary#no#14107,0#no#no#cellular#17#nov#1.0#-1,0#0#unknown#no
5584#2550#51,0#admin.#divorced#secondary#no#2195,0#yes#no#unknown#13#may#1.0#-1,0#0#unknown#no
5585#29650#59,0#unknown#married#primary#no#282,0#no#no#cellular#3#feb#2.0#-1,0#0#unknown#no
5586#9342#52,0#housemaid#married#primary#no#1837,0#no#no#unknown#6#jun#1.0#-1,0#0#unknown#no
5587#40570#73,0#management#married#tertiary#no#1609,0#no#no#cellular#14#jul#2.0#-1,0#0#unknown#yes
5588#1309#44,0#blue-collar#married#secondary#no#-95,0#yes#no#unknown#8#may#1.0#-1,0#0#unknown#no
5589#24419#46,0#technician#married#secondary#no#0,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
5590#31047#31,0#management#married#tertiary#no#2603,0#yes#no#cellular#11#feb#4.0#-1,0#0#unknown#yes
5591#35443#25,0#student#single#tertiary#no#0,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
5592#7602#33,0#blue-collar#single#secondary#no#-147,0#yes#no#unknown#30#may#2.0#-1,0#0#unknown#no
5593#17119#58,0#retired#single#primary#no#999,0#no#no#cellular#25#jul#6.0#-1,0#0#unknown#no
5594#19637#37,0#technician#divorced#secondary#no#5733,0#yes#no#cellular#7#aug#4.0#-1,0#0#unknown#no
5595#13677#41,0#blue-collar#married#unknown#no#2113,0#yes#no#telephone#9#jul#5.0#-1,0#0#unknown#no
5596#41814#30,0#admin.#married#secondary#no#0,0#no#no#cellular#15#oct#1.0#140,0#3#failure#no
5597#29013#49,0#blue-collar#single#secondary#no#-367,0#yes#no#cellular#2#feb#1.0#207,0#1#failure#no
5598#17711#25,0#services#single#secondary#no#88,0#yes#no#cellular#29#jul#18.0#-1,0#0#unknown#no
5599#32517##blue-collar#married#secondary#no#788,0#yes#no#cellular#17#apr#1.0#-1,0#0#unknown#no
5600#7835#27,0#technician#single#secondary#no#430,0#yes#yes#unknown#30#may#3.0#-1,0#0#unknown#no
5601#8468##blue-collar#married#secondary#no#572,0#yes#no#unknown#3#jun#2.0#-1,0#0#unknown#no
5602#21620#53,0#services#married#secondary#no#139,0#yes#no#cellular#19#aug#17.0#-1,0#0#unknown#no
5603#35465#42,0#admin.#single#secondary#no#2790,0#yes#no#cellular#7#may#1.0#336,0#1#failure#no
5604#43054#61,0#self-employed#divorced#tertiary#no#52587,0#no#no#cellular#15#feb#3.0#189,0#1#success#yes
5605#7691#59,0#retired#married#secondary#no#4414,0#yes#no#unknown#30#may#1.0#-1,0#0#unknown#no
5606#39257#48,0#blue-collar#married#secondary#no#5306,0#yes#no#cellular#18#may#2.0#368,0#1#failure#no
5607#13151#54,0#management#married#tertiary#no#3,0#no#yes#cellular#8#jul#1.0#-1,0#0#unknown#no
5608#249#39,0#blue-collar#married#secondary#no#483,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#no
5609#22991##management#married#tertiary#no#0,0#no#no#cellular#26#aug#3.0#-1,0#0#unknown#no
5610#43729##technician#single#tertiary#no#865,0#no#no#cellular#17#may#3.0#243,0#1#failure#no
5611#22899#34,0#management#single#tertiary#no#94,0#no#no#cellular#25#aug#11.0#-1,0#0#unknown#no
5612#28359#59,0#unknown#married#tertiary#no#499,0#no#no#cellular#29#jan#1.0#-1,0#0#unknown#no
5613#23546#50,0#blue-collar#married#primary#no#403,0#no#no#cellular#28#aug#6.0#-1,0#0#unknown#no
5614#11076#35,0#services#married#unknown#no#0,0#no#no#unknown#17#jun#7.0#-1,0#0#unknown#no
5615#13330#30,0#services#single#secondary#no#245,0#no#yes#cellular#8#jul#2.0#-1,0#0#unknown#no
5616#24086#50,0#management#single#tertiary#no#3537,0#no#no#unknown#24#oct#1.0#-1,0#0#unknown#yes
5617#9474#50,0#technician#married#secondary#no#8001,0#no#no#unknown#6#jun#1.0#-1,0#0#unknown#no
5618#19035#55,0#services#married#secondary#no#76,0#no#no#cellular#5#aug#1.0#-1,0#0#unknown#no
5619#17166#56,0#management#married#tertiary#no#-1493,0#no#yes#cellular#28#jul#4.0#-1,0#0#unknown#no
5620#39111#27,0#technician#divorced#secondary#no#21,0#yes#no#cellular#18#may#1.0#356,0#1#failure#no
5621#41777#46,0#self-employed#married#tertiary#no#8,0#no#no#cellular#13#oct#1.0#-1,0#0#unknown#no
5622#39050#38,0#services#married#unknown#no#15,0#yes#no#cellular#18#may#1.0#-1,0#0#unknown#no
5623#24122##management#single#tertiary#no#1335,0#no#yes#unknown#4#nov#1.0#-1,0#0#unknown#no
5624#30816#37,0#unemployed#married#secondary#no#924,0#yes#no#cellular#9#feb#9.0#-1,0#0#unknown#no
5625#20821#41,0#technician#married#secondary#no#563,0#yes#no#cellular#13#aug#4.0#-1,0#0#unknown#no
5626#15365#44,0#management#married#secondary#no#3286,0#yes#no#cellular#18#jul#1.0#-1,0#0#unknown#no
5627#30612#41,0#unemployed#married#primary#no#-117,0#yes#no#telephone#6#feb#6.0#-1,0#0#unknown#no
5628#22178#34,0#management#divorced#tertiary#no#0,0#no#no#cellular#21#aug#2.0#-1,0#0#unknown#no
5629#41078#25,0#management#single#tertiary#no#528,0#no#no#cellular#14#aug#1.0#-1,0#0#unknown#yes
5630#8604#51,0#admin.#married#secondary#no#788,0#yes#no#unknown#3#jun#6.0#-1,0#0#unknown#no
5631#41785#49,0#admin.#married#secondary#no#197,0#yes#no#cellular#13#oct#1.0#68,0#1#other#no
5632#6697#42,0#blue-collar#married#secondary#no#1468,0#yes#no#unknown#28#may#1.0#-1,0#0#unknown#no
5633#36696#36,0#management#married#secondary#no#339,0#yes#no#cellular#12#may#1.0#354,0#1#failure#no
5634#15057#30,0#management#single#tertiary#no#4,0#yes#no#cellular#17#jul#1.0#-1,0#0#unknown#no
5635#24962#35,0#technician#married#secondary#no#222,0#yes#no#cellular#18#nov#1.0#190,0#6#failure#no
5636#37086#33,0#management#married#tertiary#no#1195,0#yes#no#telephone#13#may#4.0#-1,0#0#unknown#no
5637#4796#39,0#management#married#tertiary#no#151,0#yes#no#unknown#21#may#1.0#-1,0#0#unknown#no
5638#12514#50,0#management#married#tertiary#no#830,0#no#no#unknown#2#jul#2.0#-1,0#0#unknown#no
5639#43716#26,0#services#married#secondary#no#104,0#no#no#unknown#14#may#1.0#-1,0#0#unknown#no
5640#42735####tertiary#no###yes#cellular#26#jan###4#other#no
5641#20839##technician#married#secondary#no#317,0#no#no#cellular#13#aug#4.0#-1,0#0#unknown#no
5642#35690#49,0#technician#married#tertiary#no#-129,0#yes#no#cellular#8#may#1.0#-1,0#0#unknown#no
5643#45194#28,0#self-employed#single#tertiary#no#159,0#no#no#cellular#16#nov#2.0#33,0#4#success#yes
5644#26282#31,0#management#married#secondary#no#1064,0#no#no#telephone#20#nov#1.0#-1,0#0#unknown#no
5645#6714##technician#divorced#secondary#no#2262,0#yes#no#unknown#28#may#2.0#-1,0#0#unknown#no
5646#27742#42,0#management#divorced#tertiary#no#266,0#no#yes#cellular#28#jan#1.0#-1,0#0#unknown#no
5647#23257#46,0#management#married#tertiary#no#0,0#no#no#cellular#27#aug#2.0#-1,0#0#unknown#no
5648#10153#56,0#unknown#divorced#primary#no#558,0#no#no#unknown#11#jun#1.0#-1,0#0#unknown#no
5649#24973#31,0#management#married#tertiary#no#0,0#yes#no#cellular#18#nov#1.0#-1,0#0#unknown#no
5650#21697#56,0#management#married#tertiary#no#0,0#no#no#cellular#19#aug#4.0#-1,0#0#unknown#no
5651#18587#52,0#technician#married#secondary#no#-1,0#no#yes#cellular#31#jul#1.0#-1,0#0#unknown#no
5652#39899#51,0#self-employed#married#secondary#no#4920,0#no#no#telephone#2#jun#2.0#-1,0#0#unknown#no
5653#18842#45,0#technician#married#secondary#no#2433,0#no#no#cellular#4#aug#1.0#-1,0#0#unknown#no
5654#8899#37,0#blue-collar#married#secondary#no#6,0#yes#no#unknown#4#jun#9.0#-1,0#0#unknown#no
5655#42024#26,0#student#single#unknown#no#603,0#no#no#cellular#28#oct#1.0#-1,0#0#unknown#no
5656#4859#36,0#management#married#secondary#no#873,0#yes#no#unknown#21#may#1.0#-1,0#0#unknown#no
5657#34428#33,0#admin.#single#secondary#no#346,0#yes#no#cellular#5#may#7.0#354,0#2#other#no
5658#13012#28,0#student#single#secondary#no#305,0#no#no#cellular#7#jul#1.0#-1,0#0#unknown#no
5659#32341#37,0#management#married#tertiary#no#26,0#no#no#cellular#16#apr#4.0#-1,0#0#unknown#no
5660#24964#52,0#self-employed#divorced#tertiary#no#10653,0#yes#no#cellular#18#nov#1.0#-1,0#0#unknown#no
5661#1495#31,0#blue-collar#married#secondary#no#186,0#yes#no#unknown#8#may#3.0#-1,0#0#unknown#no
5662#18190#27,0#technician#single#secondary#no#489,0#yes#no#cellular#30#jul#4.0#-1,0#0#unknown#yes
5663#39941#38,0#admin.#single#secondary#no#626,0#no#no#cellular#2#jun#4.0#-1,0#0#unknown#no
5664#6512#34,0#blue-collar#married#primary#no#244,0#yes#no#unknown#27#may#13.0#-1,0#0#unknown#no
5665#25326#49,0#blue-collar#married#primary#no#-14,0#yes#no#cellular#18#nov#2.0#-1,0#0#unknown#no
5666#42006#76,0#retired#married#unknown#no#992,0#no#no#cellular#27#oct#2.0#-1,0#0#unknown#no
5667#40420#30,0#management#single#tertiary#no#536,0#no#no#cellular#2#jul#1.0#-1,0#0#unknown#yes
5668#3559#60,0#retired#single#tertiary#no#7440,0#yes#no#unknown#15#may#3.0#-1,0#0#unknown#no
5669#5037#35,0#technician#married#secondary#yes#-29,0#yes#yes#unknown#21#may#3.0#-1,0#0#unknown#no
5670#26121#36,0#services#married#tertiary#no#45,0#no#no#cellular#19#nov#3.0#-1,0#0#unknown#no
5671#23477#46,0#housemaid#married#secondary#no#505,0#no#no#cellular#28#aug#7.0#-1,0#0#unknown#no
5672#43464#32,0#management#single#tertiary#no#2016,0#no#no#cellular#13#apr#1.0#348,0#1#success#yes
5673#18635#52,0#blue-collar#married#primary#no#0,0#yes#no#cellular#31#jul#28.0#-1,0#0#unknown#no
5674#3112####secondary#no###no#unknown#14#may###0#unknown#no
5675#22073#42,0#management#married#tertiary#no#99,0#no#no#cellular#21#aug#4.0#-1,0#0#unknown#no
5676#1831#53,0#management#married#secondary#no#-133,0#yes#no#unknown#9#may#2.0#-1,0#0#unknown#no
5677#8100#31,0#blue-collar#single#secondary#no#334,0#yes#yes#unknown#2#jun#2.0#-1,0#0#unknown#no
5678#41019#50,0#housemaid#divorced#secondary#no#0,0#no#no#telephone#13#aug#1.0#105,0#2#failure#no
5679#8264#59,0#blue-collar#married#secondary#no#475,0#yes#yes#unknown#2#jun#1.0#-1,0#0#unknown#no
5680#12755#25,0#blue-collar#married#primary#no#0,0#no#no#cellular#7#jul#1.0#-1,0#0#unknown#no
5681#21426#33,0#self-employed#married#tertiary#no#576,0#yes#no#cellular#18#aug#3.0#-1,0#0#unknown#no
5682#4494#37,0#technician#married#secondary#no#439,0#yes#no#unknown#20#may#2.0#-1,0#0#unknown#no
5683#20055#51,0#technician#divorced#tertiary#no#4596,0#no#no#cellular#8#aug#5.0#-1,0#0#unknown#no
5684#33635#34,0#services#married#secondary#no#790,0#yes#no#cellular#20#apr#2.0#350,0#1#failure#no
5685#19342##technician#single#secondary#no#200,0#no#no#cellular#6#aug#2.0#-1,0#0#unknown#no
5686#44042#48,0#admin.#single#secondary#no#1544,0#yes#no#telephone#30#jun#1.0#450,0#2#failure#yes
5687#7853#32,0#blue-collar#married#secondary#no#1484,0#yes#no#unknown#30#may#7.0#-1,0#0#unknown#no
5688#19449#56,0#retired#married#secondary#no#0,0#no#yes#cellular#7#aug#4.0#-1,0#0#unknown#no
5689#24258#37,0#management#married#tertiary#yes#0,0#no#no#cellular#17#nov#1.0#123,0#2#failure#no
5690#28887#31,0#management#single#tertiary#no#358,0#yes#no#cellular#30#jan#3.0#256,0#51#failure#no
5691#40103#30,0#management#single#tertiary#no#3384,0#no#no#cellular#4#jun#2.0#-1,0#0#unknown#yes
5692#26198#35,0#management#married#tertiary#no#787,0#no#no#cellular#20#nov#1.0#-1,0#0#unknown#no
5693#35684#59,0#self-employed#married#tertiary#no#6237,0#yes#no#cellular#8#may#1.0#169,0#2#failure#no
5694#14680#31,0#blue-collar#married#secondary#no#0,0#no#yes#telephone#15#jul#2.0#-1,0#0#unknown#no
5695#12212#30,0#management#married#tertiary#no#-250,0#yes#no#unknown#20#jun#6.0#-1,0#0#unknown#no
5696#5070#35,0#blue-collar#married#primary#no#453,0#yes#no#unknown#21#may#2.0#-1,0#0#unknown#no
5697#32581##technician#married#secondary#no#-126,0#yes#no#cellular#17#apr#2.0#-1,0#0#unknown#no
5698#34829#49,0#blue-collar#divorced#primary#no#0,0#yes#no#cellular#6#may#1.0#281,0#2#failure#no
5699#6846#56,0#retired#married#primary#no#-299,0#yes#no#unknown#28#may#1.0#-1,0#0#unknown#no
5700#1722#37,0#admin.#divorced#secondary#no#34,0#yes#no#unknown#9#may#3.0#-1,0#0#unknown#no
5701#24028#36,0#technician#single#secondary#no#2419,0#no#no#cellular#29#aug#3.0#-1,0#0#unknown#no
5702#36196#55,0#blue-collar#married#secondary#no#2059,0#yes#no#cellular#11#may#1.0#259,0#4#failure#no
5703#5784#45,0#blue-collar#married#secondary#no#61,0#yes#no#unknown#26#may#4.0#-1,0#0#unknown#yes
5704#11626#42,0#management#divorced#secondary#yes#923,0#yes#no#unknown#19#jun#2.0#-1,0#0#unknown#no
5705#32700#79,0#retired#married#primary#no#3481,0#no#no#telephone#17#apr#4.0#-1,0#0#unknown#no
5706#38756#25,0#services#single#secondary#no#-141,0#yes#no#cellular#18#may#2.0#348,0#2#failure#no
5707#26696#56,0#blue-collar#divorced#primary#no#285,0#no#yes#cellular#20#nov#1.0#-1,0#0#unknown#no
5708#16548#48,0#technician#married#secondary#no#93,0#no#no#cellular#24#jul#2.0#-1,0#0#unknown#no
5709#15102#58,0#services#married#secondary#no#553,0#no#yes#telephone#17#jul#3.0#-1,0#0#unknown#no
5710#11482#40,0#blue-collar#married#primary#no#2132,0#no#no#unknown#19#jun#1.0#-1,0#0#unknown#no
5711#17556#30,0#management#single#tertiary#no#62,0#yes#no#cellular#29#jul#5.0#-1,0#0#unknown#no
5712#20399#32,0#management#single#tertiary#no#715,0#no#no#cellular#11#aug#1.0#-1,0#0#unknown#no
5713#25051#41,0#blue-collar#married#secondary#no#1954,0#no#no#cellular#18#nov#1.0#110,0#2#success#no
5714#35788#44,0#admin.#married#secondary#yes#-204,0#yes#no#cellular#8#may#1.0#347,0#2#failure#no
5715#27762#32,0#student#married#secondary#no#0,0#no#no#cellular#28#jan#1.0#-1,0#0#unknown#no
5716#1390##blue-collar#single#secondary#no#82,0#yes#no#unknown#8#may#5.0#-1,0#0#unknown#no
5717#35246#34,0#services#single#secondary#no#-38,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
5718#14970#40,0#blue-collar#married#primary#no#1206,0#no#yes#telephone#16#jul#5.0#-1,0#0#unknown#no
5719#13493#33,0#management#married#tertiary#no#0,0#yes#no#cellular#9#jul#1.0#-1,0#0#unknown#no
5720#24320#42,0#technician#married#secondary#no#4466,0#no#no#cellular#17#nov#2.0#-1,0#0#unknown#no
5721#10601#49,0#retired#married#primary#no#1381,0#no#no#unknown#16#jun#2.0#-1,0#0#unknown#no
5722#22065#46,0#management#married#tertiary#no#0,0#no#no#cellular#20#aug#3.0#-1,0#0#unknown#no
5723#39409##management#married#tertiary#no#622,0#no#no#cellular#22#may#2.0#184,0#1#failure#no
5724#21567#60,0#technician#married#secondary#no#-410,0#no#no#cellular#19#aug#2.0#-1,0#0#unknown#no
5725#42101#29,0#technician#single#secondary#no#3851,0#no#no#cellular#2#nov#2.0#-1,0#0#unknown#no
5726#14737#33,0#technician#single#secondary#no#-325,0#yes#no#cellular#15#jul#6.0#-1,0#0#unknown#no
5727#24622#56,0#housemaid#married#primary#no#1168,0#no#no#telephone#17#nov#2.0#-1,0#0#unknown#no
5728#40739#60,0#self-employed#married#tertiary#no#10861,0#no#no#cellular#10#aug#2.0#-1,0#0#unknown#no
5729#33810#31,0#technician#single#tertiary#no#1081,0#no#no#cellular#24#apr#5.0#261,0#2#failure#yes
5730#44807#74,0#retired#divorced#primary#no#2308,0#no#no#telephone#16#sep#2.0#535,0#2#success#no
5731#45177#54,0#admin.#married#secondary#no#66,0#yes#no#cellular#11#nov#1.0#-1,0#0#unknown#yes
5732#2896#42,0#management#married#tertiary#no#1340,0#yes#no#unknown#14#may#1.0#-1,0#0#unknown#no
5733#35368#43,0#blue-collar#divorced#primary#no#1234,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
5734#45067#29,0#student#single#secondary#no#1925,0#no#no#cellular#21#oct#3.0#149,0#5#success#yes
5735#41571#37,0#management#married#tertiary#no#99,0#no#no#cellular#14#sep#1.0#-1,0#0#unknown#no
5736#42014#52,0#services#married#secondary#no#659,0#no#no#cellular#27#oct#1.0#-1,0#0#unknown#yes
5737#12581#56,0#entrepreneur#married#secondary#no#938,0#no#yes#unknown#3#jul#2.0#-1,0#0#unknown#no
5738#901#52,0#admin.#single#secondary#no#545,0#yes#no#unknown#7#may#1.0#-1,0#0#unknown#no
5739#43590#28,0#technician#single#secondary#no#631,0#no#no#cellular#29#apr#7.0#-1,0#0#unknown#no
5740#22100#53,0#blue-collar#married#unknown#no#0,0#no#no#cellular#21#aug#2.0#-1,0#0#unknown#no
5741#21817#52,0#blue-collar#married#secondary#no#223,0#no#no#cellular#20#aug#4.0#-1,0#0#unknown#no
5742#38780#23,0#housemaid#single#primary#no#93,0#yes#no#cellular#18#may#3.0#-1,0#0#unknown#no
5743#42657#70,0#retired#divorced#primary#no#482,0#no#no#telephone#14#jan#1.0#196,0#2#success#yes
5744#41665#36,0#technician#married#tertiary#no#202,0#no#no#cellular#1#oct#1.0#122,0#2#failure#no
5745#32687#34,0#admin.#married#secondary#no#-44,0#yes#yes#cellular#17#apr#2.0#-1,0#0#unknown#no
5746#2003#35,0#management#single#tertiary#no#123,0#yes#no#unknown#9#may#3.0#-1,0#0#unknown#no
5747#9254#55,0#management#married#unknown#no#0,0#no#no#unknown#5#jun#2.0#-1,0#0#unknown#no
5748#10068#49,0#retired#married#primary#no#3478,0#no#no#unknown#11#jun#5.0#-1,0#0#unknown#no
5749#11338#36,0#blue-collar#married#primary#no#946,0#yes#no#unknown#18#jun#3.0#-1,0#0#unknown#no
5750#8940#52,0#admin.#divorced#secondary#no#1049,0#no#yes#unknown#4#jun#6.0#-1,0#0#unknown#no
5751#11564#48,0#services#divorced#primary#no#-110,0#no#yes#unknown#19#jun#2.0#-1,0#0#unknown#no
5752#4975##services#married#secondary#no#1303,0#yes#yes#unknown#21#may#1.0#-1,0#0#unknown#no
