ID§age§job§marital§education§default§balance§housing§loan§contact§day§month§campaign§pdays§previous§poutcome§y
3§§entrepreneur§married§secondary§no§2,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
9997§52,0§entrepreneur§married§tertiary§no§1115,0§yes§no§unknown§9§jun§2,0§-1,0§0§unknown§
9999§46,0§services§married§tertiary§no§474,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
10002§39,0§blue-collar§married§secondary§no§138,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
10005§40,0§management§married§secondary§no§-63,0§no§no§unknown§9§jun§4,0§-1,0§0§unknown§
10007§25,0§admin.§single§secondary§no§66,0§yes§no§unknown§9§jun§3,0§-1,0§0§unknown§
10013§35,0§blue-collar§married§secondary§no§3015,0§yes§no§unknown§9§jun§2,0§-1,0§0§unknown§
10017§39,0§services§married§secondary§no§1367,0§yes§no§unknown§9§jun§4,0§-1,0§0§unknown§
10020§§admin.§divorced§secondary§no§90,0§yes§no§unknown§9§jun§5,0§-1,0§0§unknown§
10021§53,0§management§married§secondary§no§2522,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
10023§45,0§blue-collar§married§primary§no§408,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
10027§50,0§housemaid§married§primary§no§3056,0§no§no§unknown§9§jun§3,0§-1,0§0§unknown§
10033§41,0§management§married§tertiary§no§36,0§no§no§unknown§9§jun§4,0§-1,0§0§unknown§
10035§49,0§blue-collar§married§secondary§no§59,0§yes§no§unknown§9§jun§10,0§-1,0§0§unknown§
10046§38,0§self-employed§single§secondary§no§4056,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10055§38,0§admin.§single§secondary§no§4023,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10059§47,0§blue-collar§married§primary§no§4157,0§no§no§unknown§11§jun§3,0§-1,0§0§unknown§
10072§54,0§technician§married§secondary§no§2500,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10075§59,0§retired§married§primary§no§1930,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10077§43,0§housemaid§divorced§primary§no§0,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10080§59,0§entrepreneur§married§tertiary§no§712,0§yes§no§unknown§11§jun§1,0§-1,0§0§unknown§
10081§27,0§technician§single§unknown§no§555,0§no§no§unknown§11§jun§9,0§-1,0§0§unknown§
10083§50,0§management§married§tertiary§no§0,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10087§36,0§blue-collar§single§secondary§no§161,0§yes§no§unknown§11§jun§2,0§-1,0§0§unknown§
10088§§management§married§tertiary§no§1574,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10097§§retired§married§tertiary§no§307,0§no§yes§unknown§11§jun§5,0§-1,0§0§unknown§
10100§41,0§management§single§tertiary§no§8368,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10101§45,0§blue-collar§married§unknown§no§2056,0§no§yes§unknown§11§jun§1,0§-1,0§0§unknown§
10103§44,0§blue-collar§married§secondary§no§289,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10107§50,0§management§married§unknown§no§8345,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10108§54,0§management§married§tertiary§no§16843,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10113§51,0§admin.§single§unknown§no§196,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10114§42,0§self-employed§divorced§tertiary§no§0,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10115§§self-employed§single§secondary§yes§0,0§no§no§unknown§11§jun§3,0§-1,0§0§unknown§
10117§49,0§services§divorced§secondary§no§725,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10119§54,0§housemaid§married§unknown§no§4789,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10121§42,0§housemaid§married§primary§yes§16,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10125§45,0§management§married§tertiary§no§409,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10126§51,0§housemaid§married§unknown§no§819,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10129§51,0§blue-collar§married§primary§no§7080,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10131§42,0§blue-collar§married§secondary§no§103,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10134§57,0§housemaid§married§primary§no§58,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10136§59,0§retired§single§secondary§no§1150,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10140§49,0§entrepreneur§married§tertiary§no§384,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10143§54,0§management§married§tertiary§no§69,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10145§39,0§services§divorced§secondary§no§2,0§yes§yes§unknown§11§jun§1,0§-1,0§0§unknown§
10147§51,0§unknown§married§unknown§no§12,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10157§45,0§unknown§married§primary§no§44,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10160§§blue-collar§married§secondary§no§303,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10164§38,0§blue-collar§married§primary§no§8637,0§yes§no§unknown§11§jun§1,0§-1,0§0§unknown§
10167§38,0§services§married§secondary§no§433,0§no§no§unknown§11§jun§1,0§-1,0§0§unknown§
10169§§unknown§married§unknown§no§0,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10179§§blue-collar§divorced§secondary§no§1869,0§no§yes§unknown§11§jun§1,0§-1,0§0§unknown§
10182§45,0§technician§divorced§secondary§no§0,0§yes§yes§unknown§11§jun§1,0§-1,0§0§unknown§
10187§38,0§admin.§married§primary§no§464,0§no§yes§unknown§11§jun§2,0§-1,0§0§unknown§
10189§25,0§blue-collar§married§primary§no§-83,0§yes§no§unknown§11§jun§17,0§-1,0§0§unknown§
10197§32,0§management§single§tertiary§no§1160,0§yes§yes§unknown§11§jun§2,0§-1,0§0§unknown§
10198§43,0§entrepreneur§married§tertiary§no§396,0§no§no§unknown§11§jun§3,0§-1,0§0§unknown§
10212§58,0§management§married§tertiary§no§313,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10218§36,0§unemployed§married§secondary§no§1766,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10221§45,0§unknown§married§unknown§no§360,0§no§no§unknown§11§jun§9,0§-1,0§0§unknown§
10222§37,0§management§single§tertiary§no§-119,0§yes§no§unknown§11§jun§11,0§-1,0§0§unknown§
10223§39,0§admin.§single§tertiary§no§23,0§no§no§unknown§11§jun§3,0§-1,0§0§unknown§
10226§57,0§management§married§tertiary§no§1571,0§no§no§unknown§11§jun§13,0§-1,0§0§unknown§
10229§35,0§technician§single§tertiary§no§18,0§yes§yes§unknown§11§jun§10,0§-1,0§0§unknown§
10231§56,0§housemaid§single§primary§no§1,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10235§39,0§self-employed§married§tertiary§no§0,0§no§no§unknown§11§jun§4,0§-1,0§0§unknown§
10237§49,0§admin.§married§secondary§no§1788,0§yes§no§unknown§11§jun§2,0§-1,0§0§unknown§
10241§§§§tertiary§no§§§no§unknown§11§jun§§§0§unknown§
10243§44,0§blue-collar§married§primary§no§321,0§yes§no§unknown§11§jun§8,0§-1,0§0§unknown§
10244§45,0§services§married§secondary§no§1306,0§no§no§unknown§11§jun§3,0§-1,0§0§unknown§
10245§52,0§admin.§married§secondary§no§4233,0§no§no§unknown§11§jun§2,0§-1,0§0§unknown§
10253§29,0§admin.§single§secondary§no§171,0§yes§no§unknown§11§jun§10,0§-1,0§0§unknown§
10260§51,0§blue-collar§married§primary§no§2995,0§yes§no§unknown§11§jun§2,0§-1,0§0§unknown§
10263§48,0§admin.§married§secondary§no§13551,0§no§no§unknown§11§jun§3,0§-1,0§0§unknown§
10266§42,0§blue-collar§married§primary§no§530,0§no§no§unknown§11§jun§8,0§-1,0§0§unknown§
10269§40,0§blue-collar§divorced§secondary§no§181,0§no§no§unknown§12§jun§6,0§-1,0§0§unknown§
10275§38,0§blue-collar§single§primary§no§1691,0§no§no§unknown§12§jun§3,0§-1,0§0§unknown§
10279§37,0§management§single§tertiary§no§8828,0§no§no§unknown§12§jun§3,0§-1,0§0§unknown§
10283§49,0§unknown§married§primary§no§142,0§no§no§unknown§12§jun§3,0§-1,0§0§unknown§
10285§39,0§management§married§unknown§no§4800,0§no§no§unknown§12§jun§3,0§-1,0§0§unknown§
10288§38,0§technician§married§tertiary§no§0,0§no§no§unknown§12§jun§2,0§-1,0§0§unknown§
10290§39,0§services§married§secondary§no§257,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10294§37,0§services§married§primary§no§0,0§yes§yes§unknown§12§jun§1,0§-1,0§0§unknown§
10301§46,0§management§married§secondary§no§0,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10307§57,0§retired§single§secondary§no§5305,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10309§§unemployed§divorced§secondary§no§45,0§no§no§unknown§12§jun§6,0§-1,0§0§unknown§
10311§53,0§housemaid§divorced§secondary§no§292,0§no§no§unknown§12§jun§2,0§-1,0§0§unknown§
10315§44,0§services§married§secondary§no§938,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10317§§entrepreneur§married§secondary§no§5657,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10319§59,0§management§married§tertiary§no§3165,0§yes§no§unknown§12§jun§2,0§-1,0§0§unknown§
10324§45,0§technician§divorced§secondary§no§29,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10330§39,0§self-employed§married§tertiary§no§2630,0§no§no§unknown§12§jun§5,0§-1,0§0§unknown§
10332§51,0§housemaid§married§primary§no§2499,0§no§no§unknown§12§jun§5,0§-1,0§0§unknown§
10337§45,0§housemaid§divorced§primary§no§221,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10339§37,0§housemaid§married§secondary§no§187,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10341§58,0§retired§married§primary§no§657,0§yes§no§unknown§12§jun§2,0§-1,0§0§unknown§
10342§36,0§blue-collar§married§primary§no§398,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10344§50,0§unknown§single§unknown§no§490,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10347§36,0§technician§married§secondary§no§1319,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10351§54,0§blue-collar§married§primary§no§1087,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10353§40,0§housemaid§married§secondary§no§3944,0§yes§no§unknown§12§jun§6,0§-1,0§0§unknown§
10354§36,0§blue-collar§married§secondary§no§753,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10358§36,0§blue-collar§married§primary§no§4138,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10360§44,0§unemployed§married§secondary§no§1590,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10366§48,0§blue-collar§single§secondary§no§580,0§yes§no§unknown§12§jun§2,0§-1,0§0§unknown§
10369§55,0§technician§married§secondary§no§57,0§yes§no§unknown§12§jun§12,0§-1,0§0§unknown§
10371§59,0§entrepreneur§married§tertiary§no§631,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10373§55,0§entrepreneur§married§primary§no§214,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10376§56,0§self-employed§married§secondary§no§1113,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10377§39,0§blue-collar§married§primary§no§1397,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10380§44,0§management§married§tertiary§no§0,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10384§40,0§services§married§secondary§no§1291,0§no§yes§unknown§12§jun§1,0§-1,0§0§unknown§
10389§49,0§blue-collar§married§primary§no§937,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10395§52,0§unknown§married§unknown§no§1317,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10396§36,0§student§single§unknown§no§172,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10397§43,0§management§divorced§tertiary§no§1052,0§no§no§unknown§12§jun§3,0§-1,0§0§unknown§
10398§36,0§management§married§primary§no§5427,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10399§47,0§housemaid§divorced§primary§no§1405,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10402§35,0§admin.§single§secondary§no§163,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10406§35,0§admin.§single§secondary§no§128,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10409§54,0§retired§married§primary§no§2243,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10410§49,0§management§married§secondary§no§4848,0§no§no§unknown§12§jun§1,0§-1,0§0§unknown§
10412§53,0§unemployed§married§secondary§no§0,0§yes§no§unknown§12§jun§1,0§-1,0§0§unknown§
10417§35,0§blue-collar§married§tertiary§no§2999,0§no§no§unknown§12§jun§6,0§-1,0§0§unknown§
10419§37,0§services§married§secondary§no§1627,0§yes§no§unknown§12§jun§2,0§-1,0§0§unknown§
10421§44,0§management§married§tertiary§no§677,0§yes§no§unknown§12§jun§2,0§-1,0§0§unknown§
10425§38,0§management§divorced§tertiary§no§10638,0§no§no§unknown§12§jun§2,0§-1,0§0§unknown§
10439§41,0§blue-collar§married§secondary§no§1165,0§no§no§unknown§12§jun§3,0§-1,0§0§unknown§
10444§35,0§management§single§tertiary§no§3140,0§no§no§unknown§12§jun§3,0§-1,0§0§unknown§
10447§55,0§housemaid§divorced§primary§no§0,0§no§no§unknown§12§jun§8,0§-1,0§0§unknown§
10452§§management§divorced§tertiary§no§452,0§yes§no§unknown§12§jun§2,0§-1,0§0§unknown§
10453§52,0§services§married§secondary§no§-336,0§no§yes§unknown§12§jun§8,0§-1,0§0§unknown§
10456§47,0§retired§divorced§primary§no§2576,0§no§no§unknown§12§jun§4,0§-1,0§0§unknown§
10465§33,0§blue-collar§divorced§secondary§no§1,0§no§no§unknown§16§jun§5,0§-1,0§0§unknown§
10468§31,0§blue-collar§married§primary§no§0,0§no§no§unknown§16§jun§5,0§-1,0§0§unknown§
10477§36,0§entrepreneur§single§tertiary§no§658,0§yes§no§unknown§16§jun§3,0§-1,0§0§unknown§
10478§44,0§blue-collar§married§primary§no§749,0§yes§no§unknown§16§jun§2,0§-1,0§0§unknown§
10479§37,0§technician§married§secondary§no§1610,0§no§no§unknown§16§jun§2,0§-1,0§0§unknown§
10483§48,0§technician§married§unknown§no§5543,0§no§no§unknown§16§jun§5,0§-1,0§0§unknown§
10488§56,0§housemaid§married§primary§no§657,0§no§no§unknown§16§jun§2,0§-1,0§0§unknown§
10493§36,0§services§married§secondary§no§5000,0§no§no§unknown§16§jun§5,0§-1,0§0§unknown§
10496§§housemaid§married§primary§no§5908,0§no§no§unknown§16§jun§4,0§-1,0§0§unknown§
10498§39,0§unemployed§married§tertiary§no§11787,0§no§no§unknown§16§jun§4,0§-1,0§0§unknown§
10500§48,0§blue-collar§divorced§secondary§yes§296,0§no§yes§unknown§16§jun§4,0§-1,0§0§unknown§
10501§35,0§blue-collar§married§secondary§no§4723,0§yes§no§unknown§16§jun§8,0§-1,0§0§unknown§
10514§31,0§technician§divorced§secondary§no§-1185,0§yes§no§unknown§16§jun§5,0§-1,0§0§unknown§
10516§52,0§unemployed§married§secondary§no§0,0§no§no§unknown§16§jun§7,0§-1,0§0§unknown§
10520§51,0§management§married§unknown§no§721,0§no§no§unknown§16§jun§3,0§-1,0§0§unknown§
10521§29,0§technician§single§secondary§no§510,0§yes§no§unknown§16§jun§15,0§-1,0§0§unknown§
10522§46,0§technician§divorced§secondary§no§454,0§no§no§unknown§16§jun§2,0§-1,0§0§unknown§
10527§58,0§retired§married§primary§no§0,0§yes§no§unknown§16§jun§4,0§-1,0§0§unknown§
10537§48,0§technician§single§tertiary§no§0,0§no§no§unknown§16§jun§4,0§-1,0§0§unknown§
10539§§management§married§primary§no§740,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10540§43,0§management§married§tertiary§no§0,0§yes§no§unknown§16§jun§17,0§-1,0§0§unknown§
10541§48,0§management§married§tertiary§no§342,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10547§37,0§management§married§tertiary§no§57,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10549§37,0§blue-collar§married§primary§no§3154,0§yes§no§unknown§16§jun§3,0§-1,0§0§unknown§
10551§32,0§blue-collar§married§secondary§no§598,0§yes§no§unknown§16§jun§2,0§-1,0§0§unknown§
10552§35,0§services§married§secondary§no§373,0§no§yes§unknown§16§jun§6,0§-1,0§0§unknown§
10555§44,0§unemployed§single§primary§no§4232,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10561§39,0§blue-collar§single§primary§no§207,0§no§yes§unknown§16§jun§3,0§-1,0§0§unknown§
10566§35,0§blue-collar§single§unknown§no§422,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10568§55,0§retired§married§tertiary§no§2929,0§no§no§unknown§16§jun§3,0§-1,0§0§unknown§
10569§51,0§housemaid§married§primary§no§13292,0§no§no§unknown§16§jun§2,0§-1,0§0§unknown§
10571§57,0§services§married§secondary§no§197,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10572§38,0§technician§single§tertiary§no§38,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10576§54,0§blue-collar§married§secondary§no§853,0§no§no§unknown§16§jun§5,0§-1,0§0§unknown§
10577§37,0§blue-collar§married§primary§no§-107,0§yes§no§unknown§16§jun§1,0§-1,0§0§unknown§
10581§59,0§retired§married§primary§no§2722,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10588§38,0§blue-collar§married§primary§no§1602,0§no§no§unknown§16§jun§1,0§-1,0§0§unknown§
10592§§blue-collar§married§secondary§no§2256,0§yes§no§unknown§16§jun§1,0§-1,0§0§unknown§
10593§36,0§unemployed§single§secondary§no§490,0§yes§yes§unknown§16§jun§3,0§-1,0§0§unknown§
10595§36,0§blue-collar§single§primary§no§3214,0§yes§no§unknown§16§jun§2,0§-1,0§0§unknown§
